,PlantType,DataSource,ATBTechnologyType,FuelType,ThermalOrRenewableOrStorage,Capacity (MW),Heat Rate (Btu/kWh),CAPEX(2012$/MW),FOM(2012$/MW/yr),VOM(2012$/MWh),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),CO2EmRate(lb/MMBtu),Lifetime(years),FuelPrice($/MMBtu),SO2 Scrubber,CoalType,Efficiency,Nameplate Energy Capacity (MWh),Minimum Energy Capacity (MWh),Maximum Charge Rate (MW),ECAPEX(2012$/MWH),PlantCategory,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,region,Latitude,Longitude,geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,GAMS Symbol
0,Coal Steam CCS,atb,Coal-CCS-AvgCF-Mid,Coal,thermal,650,8060.735108,6207057.034,71780.31263,8.730038023,Yes,0.062,0.085,20.5,65,1.7494556002769337,wet,Bituminous,,,,,,CCS,12.0,116.35,66358.38150289017,260.0,0.0,22.831936200039493,1,0.0,1,1,p61,,,,,,,,,,,Coal Steam CCSp61
1,Combined Cycle,atb,Gas-CC-AvgCF - Mid,Natural Gas,thermal,400,6372.927757,919564.0051,13580.059150000001,2.910012674,Yes,0.003,0.035,119.0,55,3.419101677638398,,,,,,,,CC,4.0,127.2,40835.92707870164,160.0,0.0,24.699700659427013,1,0.0,1,1,p61,,,,,,,,,,,Combined Cyclep61
2,Combined Cycle CCS,atb,Gas-CC-CCS-AvgCF - Mid,Natural Gas,thermal,340,7265.331643,1733397.55,31040.13519,6.790029573,Yes,0.003,0.035,11.9,55,3.419101677638398,,,,,,,,CCS,4.0,108.12,34710.5380168964,136.0,0.0,31.630937182180638,1,0.0,1,1,p61,,,,,,,,,,,Combined Cycle CCSp61
3,Nuclear,atb,Nuclear - Mid,Nuclear Fuel,thermal,1117,10165.64428,5587224.335,92150.40135,1.94000845,Yes,0.0,0.0,0.0,60,0.6381663463155712,,,,,,,,Nuclear,20.0,89.36,570171.6318363717,1005.3000000000001,0.0,8.427380518111386,0,0.0,1,1,p61,,,,,,,,,,,Nuclearp61
4,Battery Storage,atb,Storage,Energy Storage,storage,100,0.0,709047.8844999999,17.72619711,0.0,Yes,0.0,0.0,0.0,15,0.0,,,0.85,400.0,0.0,100.0,0.0,Battery,0.0,6000.0,0.0,0.0,0.0,0.0,0,0.0,1,1,p61,,,,,,,,,,,Battery Storagep61
5,Hydrogen,hydrogen,,Energy Storage,storage,500,0.0,1058000.0,0.0,0.0,Yes,0.0,0.0,0.0,15,0.0,,,0.49,1440000.0,0.0,500.0,160.0,Hydrogen,0.0,30000.0,0.0,0.0,0.0,0.0,0,0.0,1,1,p61,,,,,,,,,,,Hydrogenp61
6,DAC,handCalc,,DAC,,-500,3412.0,-19037733.54499939,0.0,-117.48338460600739,Yes,,,322.0,15,0.0,,,,,,,,,0.0,500.0,0.0,0.0,0.0,-117.48338460600739,0,-0.0,0,0,p61,,,,,,,,,,,DACp61
7,Coal Steam CCS,atb,Coal-CCS-AvgCF-Mid,Coal,thermal,650,8060.735108,6207057.034,71780.31263,8.730038023,Yes,0.062,0.085,20.5,65,1.7494556002769337,wet,Bituminous,,,,,,CCS,12.0,116.35,66358.38150289017,260.0,0.0,22.831936200039493,1,0.0,1,1,p62,,,,,,,,,,,Coal Steam CCSp62
8,Combined Cycle,atb,Gas-CC-AvgCF - Mid,Natural Gas,thermal,400,6372.927757,919564.0051,13580.059150000001,2.910012674,Yes,0.003,0.035,119.0,55,3.419101677638398,,,,,,,,CC,4.0,127.2,40835.92707870164,160.0,0.0,24.699700659427013,1,0.0,1,1,p62,,,,,,,,,,,Combined Cyclep62
9,Combined Cycle CCS,atb,Gas-CC-CCS-AvgCF - Mid,Natural Gas,thermal,340,7265.331643,1733397.55,31040.13519,6.790029573,Yes,0.003,0.035,11.9,55,3.419101677638398,,,,,,,,CCS,4.0,108.12,34710.5380168964,136.0,0.0,31.630937182180638,1,0.0,1,1,p62,,,,,,,,,,,Combined Cycle CCSp62
10,Nuclear,atb,Nuclear - Mid,Nuclear Fuel,thermal,1117,10165.64428,5587224.335,92150.40135,1.94000845,Yes,0.0,0.0,0.0,60,0.6381663463155712,,,,,,,,Nuclear,20.0,89.36,570171.6318363717,1005.3000000000001,0.0,8.427380518111386,0,0.0,1,1,p62,,,,,,,,,,,Nuclearp62
11,Battery Storage,atb,Storage,Energy Storage,storage,100,0.0,709047.8844999999,17.72619711,0.0,Yes,0.0,0.0,0.0,15,0.0,,,0.85,400.0,0.0,100.0,0.0,Battery,0.0,6000.0,0.0,0.0,0.0,0.0,0,0.0,1,1,p62,,,,,,,,,,,Battery Storagep62
12,Hydrogen,hydrogen,,Energy Storage,storage,500,0.0,1058000.0,0.0,0.0,Yes,0.0,0.0,0.0,15,0.0,,,0.49,1440000.0,0.0,500.0,160.0,Hydrogen,0.0,30000.0,0.0,0.0,0.0,0.0,0,0.0,1,1,p62,,,,,,,,,,,Hydrogenp62
13,DAC,handCalc,,DAC,,-500,3412.0,-19037733.54499939,0.0,-117.48338460600739,Yes,,,322.0,15,0.0,,,,,,,,,0.0,500.0,0.0,0.0,0.0,-117.48338460600739,0,-0.0,0,0,p62,,,,,,,,,,,DACp62
14,Coal Steam CCS,atb,Coal-CCS-AvgCF-Mid,Coal,thermal,650,8060.735108,6207057.034,71780.31263,8.730038023,Yes,0.062,0.085,20.5,65,1.7494556002769337,wet,Bituminous,,,,,,CCS,12.0,116.35,66358.38150289017,260.0,0.0,22.831936200039493,1,0.0,1,1,p60,,,,,,,,,,,Coal Steam CCSp60
15,Combined Cycle,atb,Gas-CC-AvgCF - Mid,Natural Gas,thermal,400,6372.927757,919564.0051,13580.059150000001,2.910012674,Yes,0.003,0.035,119.0,55,3.419101677638398,,,,,,,,CC,4.0,127.2,40835.92707870164,160.0,0.0,24.699700659427013,1,0.0,1,1,p60,,,,,,,,,,,Combined Cyclep60
16,Combined Cycle CCS,atb,Gas-CC-CCS-AvgCF - Mid,Natural Gas,thermal,340,7265.331643,1733397.55,31040.13519,6.790029573,Yes,0.003,0.035,11.9,55,3.419101677638398,,,,,,,,CCS,4.0,108.12,34710.5380168964,136.0,0.0,31.630937182180638,1,0.0,1,1,p60,,,,,,,,,,,Combined Cycle CCSp60
17,Nuclear,atb,Nuclear - Mid,Nuclear Fuel,thermal,1117,10165.64428,5587224.335,92150.40135,1.94000845,Yes,0.0,0.0,0.0,60,0.6381663463155712,,,,,,,,Nuclear,20.0,89.36,570171.6318363717,1005.3000000000001,0.0,8.427380518111386,0,0.0,1,1,p60,,,,,,,,,,,Nuclearp60
18,Battery Storage,atb,Storage,Energy Storage,storage,100,0.0,709047.8844999999,17.72619711,0.0,Yes,0.0,0.0,0.0,15,0.0,,,0.85,400.0,0.0,100.0,0.0,Battery,0.0,6000.0,0.0,0.0,0.0,0.0,0,0.0,1,1,p60,,,,,,,,,,,Battery Storagep60
19,Hydrogen,hydrogen,,Energy Storage,storage,500,0.0,1058000.0,0.0,0.0,Yes,0.0,0.0,0.0,15,0.0,,,0.49,1440000.0,0.0,500.0,160.0,Hydrogen,0.0,30000.0,0.0,0.0,0.0,0.0,0,0.0,1,1,p60,,,,,,,,,,,Hydrogenp60
20,DAC,handCalc,,DAC,,-500,3412.0,-19037733.54499939,0.0,-117.48338460600739,Yes,,,322.0,15,0.0,,,,,,,,,0.0,500.0,0.0,0.0,0.0,-117.48338460600739,0,-0.0,0,0,p60,,,,,,,,,,,DACp60
21,Coal Steam CCS,atb,Coal-CCS-AvgCF-Mid,Coal,thermal,650,8060.735108,6207057.034,71780.31263,8.730038023,Yes,0.062,0.085,20.5,65,1.7494556002769337,wet,Bituminous,,,,,,CCS,12.0,116.35,66358.38150289017,260.0,0.0,22.831936200039493,1,0.0,1,1,p63,,,,,,,,,,,Coal Steam CCSp63
22,Combined Cycle,atb,Gas-CC-AvgCF - Mid,Natural Gas,thermal,400,6372.927757,919564.0051,13580.059150000001,2.910012674,Yes,0.003,0.035,119.0,55,3.419101677638398,,,,,,,,CC,4.0,127.2,40835.92707870164,160.0,0.0,24.699700659427013,1,0.0,1,1,p63,,,,,,,,,,,Combined Cyclep63
23,Combined Cycle CCS,atb,Gas-CC-CCS-AvgCF - Mid,Natural Gas,thermal,340,7265.331643,1733397.55,31040.13519,6.790029573,Yes,0.003,0.035,11.9,55,3.419101677638398,,,,,,,,CCS,4.0,108.12,34710.5380168964,136.0,0.0,31.630937182180638,1,0.0,1,1,p63,,,,,,,,,,,Combined Cycle CCSp63
24,Nuclear,atb,Nuclear - Mid,Nuclear Fuel,thermal,1117,10165.64428,5587224.335,92150.40135,1.94000845,Yes,0.0,0.0,0.0,60,0.6381663463155712,,,,,,,,Nuclear,20.0,89.36,570171.6318363717,1005.3000000000001,0.0,8.427380518111386,0,0.0,1,1,p63,,,,,,,,,,,Nuclearp63
25,Battery Storage,atb,Storage,Energy Storage,storage,100,0.0,709047.8844999999,17.72619711,0.0,Yes,0.0,0.0,0.0,15,0.0,,,0.85,400.0,0.0,100.0,0.0,Battery,0.0,6000.0,0.0,0.0,0.0,0.0,0,0.0,1,1,p63,,,,,,,,,,,Battery Storagep63
26,Hydrogen,hydrogen,,Energy Storage,storage,500,0.0,1058000.0,0.0,0.0,Yes,0.0,0.0,0.0,15,0.0,,,0.49,1440000.0,0.0,500.0,160.0,Hydrogen,0.0,30000.0,0.0,0.0,0.0,0.0,0,0.0,1,1,p63,,,,,,,,,,,Hydrogenp63
27,DAC,handCalc,,DAC,,-500,3412.0,-19037733.54499939,0.0,-117.48338460600739,Yes,,,322.0,15,0.0,,,,,,,,,0.0,500.0,0.0,0.0,0.0,-117.48338460600739,0,-0.0,0,0,p63,,,,,,,,,,,DACp63
28,Coal Steam CCS,atb,Coal-CCS-AvgCF-Mid,Coal,thermal,650,8060.735108,6207057.034,71780.31263,8.730038023,Yes,0.062,0.085,20.5,65,1.7494556002769337,wet,Bituminous,,,,,,CCS,12.0,116.35,66358.38150289017,260.0,0.0,22.831936200039493,1,0.0,1,1,p64,,,,,,,,,,,Coal Steam CCSp64
29,Combined Cycle,atb,Gas-CC-AvgCF - Mid,Natural Gas,thermal,400,6372.927757,919564.0051,13580.059150000001,2.910012674,Yes,0.003,0.035,119.0,55,3.419101677638398,,,,,,,,CC,4.0,127.2,40835.92707870164,160.0,0.0,24.699700659427013,1,0.0,1,1,p64,,,,,,,,,,,Combined Cyclep64
30,Combined Cycle CCS,atb,Gas-CC-CCS-AvgCF - Mid,Natural Gas,thermal,340,7265.331643,1733397.55,31040.13519,6.790029573,Yes,0.003,0.035,11.9,55,3.419101677638398,,,,,,,,CCS,4.0,108.12,34710.5380168964,136.0,0.0,31.630937182180638,1,0.0,1,1,p64,,,,,,,,,,,Combined Cycle CCSp64
31,Nuclear,atb,Nuclear - Mid,Nuclear Fuel,thermal,1117,10165.64428,5587224.335,92150.40135,1.94000845,Yes,0.0,0.0,0.0,60,0.6381663463155712,,,,,,,,Nuclear,20.0,89.36,570171.6318363717,1005.3000000000001,0.0,8.427380518111386,0,0.0,1,1,p64,,,,,,,,,,,Nuclearp64
32,Battery Storage,atb,Storage,Energy Storage,storage,100,0.0,709047.8844999999,17.72619711,0.0,Yes,0.0,0.0,0.0,15,0.0,,,0.85,400.0,0.0,100.0,0.0,Battery,0.0,6000.0,0.0,0.0,0.0,0.0,0,0.0,1,1,p64,,,,,,,,,,,Battery Storagep64
33,Hydrogen,hydrogen,,Energy Storage,storage,500,0.0,1058000.0,0.0,0.0,Yes,0.0,0.0,0.0,15,0.0,,,0.49,1440000.0,0.0,500.0,160.0,Hydrogen,0.0,30000.0,0.0,0.0,0.0,0.0,0,0.0,1,1,p64,,,,,,,,,,,Hydrogenp64
34,DAC,handCalc,,DAC,,-500,3412.0,-19037733.54499939,0.0,-117.48338460600739,Yes,,,322.0,15,0.0,,,,,,,,,0.0,500.0,0.0,0.0,0.0,-117.48338460600739,0,-0.0,0,0,p64,,,,,,,,,,,DACp64
35,Coal Steam CCS,atb,Coal-CCS-AvgCF-Mid,Coal,thermal,650,8060.735108,6207057.034,71780.31263,8.730038023,Yes,0.062,0.085,20.5,65,1.7494556002769337,wet,Bituminous,,,,,,CCS,12.0,116.35,66358.38150289017,260.0,0.0,22.831936200039493,1,0.0,1,1,p65,,,,,,,,,,,Coal Steam CCSp65
36,Combined Cycle,atb,Gas-CC-AvgCF - Mid,Natural Gas,thermal,400,6372.927757,919564.0051,13580.059150000001,2.910012674,Yes,0.003,0.035,119.0,55,3.419101677638398,,,,,,,,CC,4.0,127.2,40835.92707870164,160.0,0.0,24.699700659427013,1,0.0,1,1,p65,,,,,,,,,,,Combined Cyclep65
37,Combined Cycle CCS,atb,Gas-CC-CCS-AvgCF - Mid,Natural Gas,thermal,340,7265.331643,1733397.55,31040.13519,6.790029573,Yes,0.003,0.035,11.9,55,3.419101677638398,,,,,,,,CCS,4.0,108.12,34710.5380168964,136.0,0.0,31.630937182180638,1,0.0,1,1,p65,,,,,,,,,,,Combined Cycle CCSp65
38,Nuclear,atb,Nuclear - Mid,Nuclear Fuel,thermal,1117,10165.64428,5587224.335,92150.40135,1.94000845,Yes,0.0,0.0,0.0,60,0.6381663463155712,,,,,,,,Nuclear,20.0,89.36,570171.6318363717,1005.3000000000001,0.0,8.427380518111386,0,0.0,1,1,p65,,,,,,,,,,,Nuclearp65
39,Battery Storage,atb,Storage,Energy Storage,storage,100,0.0,709047.8844999999,17.72619711,0.0,Yes,0.0,0.0,0.0,15,0.0,,,0.85,400.0,0.0,100.0,0.0,Battery,0.0,6000.0,0.0,0.0,0.0,0.0,0,0.0,1,1,p65,,,,,,,,,,,Battery Storagep65
40,Hydrogen,hydrogen,,Energy Storage,storage,500,0.0,1058000.0,0.0,0.0,Yes,0.0,0.0,0.0,15,0.0,,,0.49,1440000.0,0.0,500.0,160.0,Hydrogen,0.0,30000.0,0.0,0.0,0.0,0.0,0,0.0,1,1,p65,,,,,,,,,,,Hydrogenp65
41,DAC,handCalc,,DAC,,-500,3412.0,-19037733.54499939,0.0,-117.48338460600739,Yes,,,322.0,15,0.0,,,,,,,,,0.0,500.0,0.0,0.0,0.0,-117.48338460600739,0,-0.0,0,0,p65,,,,,,,,,,,DACp65
42,Coal Steam CCS,atb,Coal-CCS-AvgCF-Mid,Coal,thermal,650,8060.735108,6207057.034,71780.31263,8.730038023,Yes,0.062,0.085,20.5,65,1.7494556002769337,wet,Bituminous,,,,,,CCS,12.0,116.35,66358.38150289017,260.0,0.0,22.831936200039493,1,0.0,1,1,p67,,,,,,,,,,,Coal Steam CCSp67
43,Combined Cycle,atb,Gas-CC-AvgCF - Mid,Natural Gas,thermal,400,6372.927757,919564.0051,13580.059150000001,2.910012674,Yes,0.003,0.035,119.0,55,3.419101677638398,,,,,,,,CC,4.0,127.2,40835.92707870164,160.0,0.0,24.699700659427013,1,0.0,1,1,p67,,,,,,,,,,,Combined Cyclep67
44,Combined Cycle CCS,atb,Gas-CC-CCS-AvgCF - Mid,Natural Gas,thermal,340,7265.331643,1733397.55,31040.13519,6.790029573,Yes,0.003,0.035,11.9,55,3.419101677638398,,,,,,,,CCS,4.0,108.12,34710.5380168964,136.0,0.0,31.630937182180638,1,0.0,1,1,p67,,,,,,,,,,,Combined Cycle CCSp67
45,Nuclear,atb,Nuclear - Mid,Nuclear Fuel,thermal,1117,10165.64428,5587224.335,92150.40135,1.94000845,Yes,0.0,0.0,0.0,60,0.6381663463155712,,,,,,,,Nuclear,20.0,89.36,570171.6318363717,1005.3000000000001,0.0,8.427380518111386,0,0.0,1,1,p67,,,,,,,,,,,Nuclearp67
46,Battery Storage,atb,Storage,Energy Storage,storage,100,0.0,709047.8844999999,17.72619711,0.0,Yes,0.0,0.0,0.0,15,0.0,,,0.85,400.0,0.0,100.0,0.0,Battery,0.0,6000.0,0.0,0.0,0.0,0.0,0,0.0,1,1,p67,,,,,,,,,,,Battery Storagep67
47,Hydrogen,hydrogen,,Energy Storage,storage,500,0.0,1058000.0,0.0,0.0,Yes,0.0,0.0,0.0,15,0.0,,,0.49,1440000.0,0.0,500.0,160.0,Hydrogen,0.0,30000.0,0.0,0.0,0.0,0.0,0,0.0,1,1,p67,,,,,,,,,,,Hydrogenp67
48,DAC,handCalc,,DAC,,-500,3412.0,-19037733.54499939,0.0,-117.48338460600739,Yes,,,322.0,15,0.0,,,,,,,,,0.0,500.0,0.0,0.0,0.0,-117.48338460600739,0,-0.0,0,0,p67,,,,,,,,,,,DACp67
49,windlat27.0lon-97.5,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1553946.768,46560.20279,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p65,27.0,-97.5,POINT (-97.5 27),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,windlat27.0lon-97.5p65
50,windlat27.5lon-98.125,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1553946.768,46560.20279,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p65,27.5,-98.125,POINT (-98.125 27.5),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,windlat27.5lon-98.125p65
51,windlat28.0lon-99.375,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1553946.768,46560.20279,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p65,28.0,-99.375,POINT (-99.375 28),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,windlat28.0lon-99.375p65
52,windlat28.5lon-98.75,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1553946.768,46560.20279,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p65,28.5,-98.75,POINT (-98.75 28.5),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,windlat28.5lon-98.75p65
53,windlat29.0lon-100.625,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1553946.768,46560.20279,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p65,29.0,-100.625,POINT (-100.625 29),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,windlat29.0lon-100.625p65
54,windlat29.0lon-98.125,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1553946.768,46560.20279,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p65,29.0,-98.125,POINT (-98.125 29),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,windlat29.0lon-98.125p65
55,solarlat26.5lon-98.75,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,909863.9628,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p65,26.5,-98.75,POINT (-98.75 26.5),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,solarlat26.5lon-98.75p65
56,solarlat27.0lon-98.75,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,909863.9628,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p65,27.0,-98.75,POINT (-98.75 27),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,solarlat27.0lon-98.75p65
57,solarlat27.5lon-98.75,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,909863.9628,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p65,27.5,-98.75,POINT (-98.75 27.5),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,solarlat27.5lon-98.75p65
58,solarlat28.0lon-99.375,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,909863.9628,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p65,28.0,-99.375,POINT (-99.375 28),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,solarlat28.0lon-99.375p65
59,solarlat28.5lon-98.75,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,909863.9628,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p65,28.5,-98.75,POINT (-98.75 28.5),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,solarlat28.5lon-98.75p65
60,solarlat29.0lon-100.625,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,909863.9628,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p65,29.0,-100.625,POINT (-100.625 29),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,solarlat29.0lon-100.625p65
61,solarlat29.0lon-98.125,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,909863.9628,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p65,29.0,-98.125,POINT (-98.125 29),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,solarlat29.0lon-98.125p65
62,windlat29.0lon-95.625,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1553946.768,46560.20279,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p67,29.0,-95.625,POINT (-95.625 29),66.0,67.0,67.0,11.5739826538,1.08612173738,p67,rto10,windlat29.0lon-95.625p67
63,windlat29.5lon-95.625,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1553946.768,46560.20279,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p67,29.5,-95.625,POINT (-95.625 29.5),66.0,67.0,67.0,11.5739826538,1.08612173738,p67,rto10,windlat29.5lon-95.625p67
64,solarlat29.0lon-95.625,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,909863.9628,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p67,29.0,-95.625,POINT (-95.625 29),66.0,67.0,67.0,11.5739826538,1.08612173738,p67,rto10,solarlat29.0lon-95.625p67
65,solarlat29.5lon-95.625,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,909863.9628,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p67,29.5,-95.625,POINT (-95.625 29.5),66.0,67.0,67.0,11.5739826538,1.08612173738,p67,rto10,solarlat29.5lon-95.625p67
66,windlat29.5lon-103.125,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1553946.768,46560.20279,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,29.5,-103.125,POINT (-103.125 29.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat29.5lon-103.125p61
67,windlat29.5lon-100.625,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1553946.768,46560.20279,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,29.5,-100.625,POINT (-100.625 29.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat29.5lon-100.625p61
68,windlat30.0lon-104.375,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1553946.768,46560.20279,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,30.0,-104.375,POINT (-104.375 30),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat30.0lon-104.375p61
